% Conditionele overschrijdingskans zeewaterstand Maasmond 1985, per windrichting, voor 12-uursperioden.
%
% Door:    C.P.M. Geerse van HKV lijn in water
% Datum:   18 december 2015 
% Project: PR3216.10
%
% Zie voor beschrijving het rapport:
% Werkwijze uitintegreren onzekerheden basisstochasten voor Hydra-NL.
% Afvoeren, meerpeilen, zeewaterstanden en windsnelheden. 
% Chris Geerse. HKV Lijn in Water, december 2015.
% 
% Tijdsperiode: 12 uur.
%
% Richt.ZW              WZW             W               WNW             NW              NNW             N	    
% P(r)	0.112768	0.100106	0.075202	0.050088	0.039606	0.036933	0.030742
% m+NAP
0.80	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00
0.90	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00
1.00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00
1.10	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	9.938E-01
1.20	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	1.000E+00	5.998E-01
1.30	6.424E-01	8.811E-01	1.000E+00	1.000E+00	7.721E-01	6.528E-01	3.644E-01
1.40	2.761E-01	4.532E-01	8.010E-01	9.153E-01	5.198E-01	4.264E-01	2.228E-01
1.50	1.189E-01	2.344E-01	4.768E-01	5.797E-01	3.524E-01	2.805E-01	1.370E-01
1.60	5.129E-02	1.219E-01	2.856E-01	3.693E-01	2.405E-01	1.856E-01	8.471E-02
1.70	2.217E-02	6.375E-02	1.721E-01	2.366E-01	1.650E-01	1.236E-01	5.266E-02
1.80	9.605E-03	3.350E-02	1.043E-01	1.524E-01	1.139E-01	8.270E-02	3.291E-02
1.90	4.170E-03	1.770E-02	6.358E-02	9.862E-02	7.902E-02	5.564E-02	2.067E-02
2.00	1.815E-03	9.397E-03	3.895E-02	6.412E-02	5.508E-02	3.761E-02	1.304E-02
2.10	7.922E-04	5.014E-03	2.399E-02	4.187E-02	3.857E-02	2.554E-02	8.264E-03
2.20	3.468E-04	2.688E-03	1.484E-02	2.746E-02	2.712E-02	1.742E-02	5.261E-03
2.30	1.523E-04	1.448E-03	9.224E-03	1.807E-02	1.915E-02	1.192E-02	3.363E-03
2.40	6.711E-05	7.833E-04	5.759E-03	1.194E-02	1.357E-02	8.197E-03	2.158E-03
2.50	2.969E-05	4.257E-04	3.610E-03	7.921E-03	9.657E-03	5.655E-03	1.391E-03
2.60	1.319E-05	2.323E-04	2.272E-03	5.271E-03	6.894E-03	3.916E-03	8.996E-04
2.70	5.889E-06	1.273E-04	1.436E-03	3.519E-03	4.938E-03	2.720E-03	5.840E-04
2.80	2.641E-06	7.005E-05	9.107E-04	2.357E-03	3.548E-03	1.896E-03	3.804E-04
2.90	1.191E-06	3.869E-05	5.796E-04	1.584E-03	2.557E-03	1.325E-03	2.486E-04
3.00	5.398E-07	2.145E-05	3.701E-04	1.067E-03	1.848E-03	9.294E-04	1.630E-04
3.10	2.461E-07	1.194E-05	2.371E-04	7.211E-04	1.340E-03	6.536E-04	1.073E-04
3.20	1.129E-07	6.665E-06	1.524E-04	4.886E-04	9.735E-04	4.609E-04	7.077E-05
3.30	5.207E-08	3.734E-06	9.824E-05	3.320E-04	7.093E-04	3.259E-04	4.683E-05
3.40	2.417E-08	2.099E-06	6.351E-05	2.261E-04	5.181E-04	2.310E-04	3.108E-05
3.50	1.129E-08	1.183E-06	4.117E-05	1.544E-04	3.794E-04	1.641E-04	2.068E-05
3.60	5.302E-09	6.690E-07	2.676E-05	1.057E-04	2.784E-04	1.169E-04	1.380E-05
3.70	2.505E-09	3.794E-07	1.744E-05	7.253E-05	2.048E-04	8.349E-05	9.227E-06
3.80	1.190E-09	2.157E-07	1.139E-05	4.988E-05	1.509E-04	5.974E-05	6.187E-06
3.90	5.688E-10	1.230E-07	7.459E-06	3.438E-05	1.115E-04	4.284E-05	4.158E-06
4.00	2.731E-10	7.029E-08	4.896E-06	2.375E-05	8.252E-05	3.079E-05	2.801E-06
4.10	1.318E-10	4.027E-08	3.220E-06	1.644E-05	6.119E-05	2.217E-05	1.891E-06
4.20	6.389E-11	2.313E-08	2.123E-06	1.140E-05	4.547E-05	1.600E-05	1.279E-06
4.30	3.110E-11	1.331E-08	1.402E-06	7.927E-06	3.384E-05	1.157E-05	8.673E-07
4.40	1.520E-11	7.679E-09	9.282E-07	5.521E-06	2.524E-05	8.379E-06	5.892E-07
4.50	7.451E-12	4.438E-09	6.156E-07	3.852E-06	1.885E-05	6.080E-06	4.010E-07
4.60	3.666E-12	2.571E-09	4.091E-07	2.693E-06	1.411E-05	4.420E-06	2.735E-07
4.70	1.809E-12	1.492E-09	2.723E-07	1.886E-06	1.057E-05	3.219E-06	1.868E-07
4.80	8.946E-13	8.673E-10	1.816E-07	1.323E-06	7.938E-06	2.348E-06	1.278E-07
4.90	4.436E-13	5.051E-10	1.213E-07	9.301E-07	5.968E-06	1.716E-06	8.764E-08
5.00	2.205E-13	2.947E-10	8.120E-08	6.549E-07	4.494E-06	1.255E-06	6.018E-08
5.10	1.098E-13	1.722E-10	5.443E-08	4.618E-07	3.389E-06	9.202E-07	4.139E-08
5.20	5.473E-14	1.008E-10	3.655E-08	3.262E-07	2.560E-06	6.755E-07	2.851E-08
5.30	2.731E-14	5.910E-11	2.458E-08	2.308E-07	1.936E-06	4.966E-07	1.967E-08
5.40	1.366E-14	3.470E-11	1.655E-08	1.636E-07	1.466E-06	3.656E-07	1.359E-08
5.50	6.883E-15	2.040E-11	1.117E-08	1.161E-07	1.112E-06	2.696E-07	9.400E-09
5.60	3.442E-15	1.201E-11	7.544E-09	8.253E-08	8.445E-07	1.990E-07	6.513E-09
5.70	1.776E-15	7.081E-12	5.104E-09	5.875E-08	6.421E-07	1.472E-07	4.518E-09
