% Status data	Concept with data d.d. 25-02-2015, statistiek voor kleine herhalingstijden afgeleid door Dirk Eilander, hoge herhalingstijden Sofia Caires															
%																
% Typ of data:	Exceedance Probability Table                                                                                                                                                                            															
%
%																
%	N		NNO		NO		ONO		O		OZO		ZO		ZZO		Z		ZZW		ZW		WZW		W		WNW		NW		NNW
%Wind speed	1	2		3		4		5		6		7		8		9		10		11		12		13		14		15		16
%
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	0.988558352	0.975138122	0.992395437	0.997685185	0.99599466	0.992236025	0.991836735	0.998945148	0.996159754	0.997147747	0.996880848	0.997891778	0.999064546	0.995786517	0.994671403	0.996190476
2.5	0.933638444	0.944751381	0.975285171	0.972222222	0.963951936	0.967391304	0.968707483	0.981012658	0.98156682	0.988590987	0.983780412	0.991567112	0.989710009	0.984199438	0.962699822	0.963809524
3	0.892448513	0.917127072	0.952471483	0.961805556	0.933244326	0.928571429	0.934693878	0.951476793	0.964669739	0.977181974	0.971927636	0.988756149	0.979420019	0.966292135	0.944937833	0.942857143
3.5	0.771167048	0.85359116	0.884030418	0.91087963	0.847797063	0.836956522	0.853061224	0.889240506	0.911674347	0.952082145	0.946974423	0.965565706	0.961646399	0.928370787	0.884547069	0.88
4	0.704805492	0.79558011	0.840304183	0.876157407	0.794392523	0.770186335	0.793197279	0.821729958	0.874807988	0.927552767	0.929507174	0.94940267	0.948550047	0.900280899	0.859680284	0.84
4.5	0.585812357	0.701657459	0.762357414	0.787037037	0.666221629	0.636645963	0.662585034	0.713080169	0.804147465	0.886480319	0.895196507	0.914265636	0.908325538	0.841292135	0.790408526	0.765714286
5	0.533180778	0.649171271	0.718631179	0.740740741	0.615487316	0.555900621	0.589115646	0.661392405	0.74500768	0.839132915	0.873986276	0.893183415	0.882132834	0.810393258	0.765541741	0.723809524
5.5	0.464530892	0.491712707	0.636882129	0.627314815	0.515353805	0.434782609	0.491156463	0.57278481	0.668202765	0.774671991	0.828446663	0.849613493	0.832086062	0.758426966	0.692717584	0.674285714
6	0.405034325	0.444751381	0.581749049	0.574074074	0.459279039	0.381987578	0.414965986	0.491561181	0.597542243	0.705647461	0.792264504	0.819395643	0.808231993	0.731741573	0.653641208	0.605714286
6.5	0.336384439	0.361878453	0.480988593	0.482638889	0.349799733	0.254658385	0.314285714	0.39978903	0.496927803	0.651454649	0.734872115	0.766690091	0.7595884	0.679775281	0.589698046	0.546666667
7	0.279176201	0.298342541	0.427756654	0.438657407	0.308411215	0.190993789	0.23537415	0.338607595	0.430107527	0.574443811	0.673736744	0.730850316	0.73152479	0.630617978	0.525754885	0.459047619
7.5	0.219679634	0.245856354	0.346007605	0.33912037	0.224299065	0.116459627	0.149659864	0.259493671	0.349462366	0.5213919	0.611977542	0.680252987	0.671655753	0.56741573	0.46714032	0.411428571
8	0.167048055	0.220994475	0.287072243	0.304398148	0.161548732	0.08215937	0.11292517	0.198312236	0.297235023	0.446662864	0.56830942	0.644413212	0.615528531	0.519662921	0.39964476	0.339047619
